name,email,phone
AliceSmith,alice.smith@example.com,555-1234,
BobJohnson,bob.johnson@example.com,555-5678,
CharlieBrown,charlie.brown@example.com,555-8765,
DianaPrince,diana.prince@example.com,555-4321,
EdwardNorton,edward.norton@example.com,555-9876,
FionaGallagher,fiona.gallagher@example.com,555-1111,
GeorgeMichael,george.michael@example.com,555-2222,
HannahBaker,hannah.baker@example.com,555-3333,
IsaacNewton,isaac.newton@example.com,555-4444,
JessicaJones,jessica.jones@example.com,555-5555,
KevinBacon,kevin.bacon@example.com,555-6666,
LaraCroft,lara.croft@example.com,555-7777,
MichaelScott,michael.scott@example.com,555-8888,
NancyDrew,nancy.drew@example.com,555-9999,
OscarWilde,oscar.wilde@example.com,555-0000,
PamBeesly,pam.beesly@example.com,555-1010,
QuentinTarantino,quentin.tarantino@example.com,555-2020,
RachelGreen,rachel.green@example.com,555-3030,
SteveRogers,steve.rogers@example.com,555-4040,
TonyStark,tony.stark@example.com,555-5050
